0,0,0,1,1,1,1,1,1,0
1,1800,250,0,0,0,0,0,0, 175000
1,2800,400,0,0,0,0,0,0,150000
1,3500,450,0,0,0,0,0,0,125000
1,800,100,0,0,0,0,0,0,90000
1,700,200,0,0,0,0,0,0,80000
1,500,50,0,0,0,0,0,0,120000
-1,-1800,-250,-1,0,0,0,0,0,-175000
-1,-2800,-400,0,-1,0,0,0,0,-150000
-1,-3500,-450,0,0,-1,0,0,0,-125000
-1,-800,-100,0,0,0,-1,0,0,-90000
-1,-700,-200,0,0,0,0,-1,0,-80000
-1,-500,-50,0,0,0,0,0,-1,-120000
1,1800,250,-1,0,0,0,0,0,175000
1,2800,400,0,-1,0,0,0,0,150000
1,3500,450,0,0,-1,0,0,0,125000
1,800,100,0,0,0,-1,0,0,90000
1,700,200,0,0,0,0,-1,0,80000
1,500,50,0,0,0,0,0,-1,120000
